Movies,IMDB Rating,Genre,Runtime (in min),Year of Release,Gross Income (in $)
970.The Twilight Saga: Eclipse,5.1,"Action, Adventure, Drama",124,2010,"$698,509,8"
971.The Final Destination,5.1,"Horror, Thriller",82,2009,"$186,167,1"
972.Eragon,5.1,"Action, Adventure, Family",104,2006,"$250,425,5"
"973.10,000 BC",5.1,"Action, Adventure, Drama",109,2008,"$269,784,2"
974.Cats & Dogs,5.1,"Action, Adventure, Comedy",87,2001,"$200,687,4"
975.G-Force,5.1,"Animation, Action, Adventure",88,2009,"$292,817,8"
976.The Flintstones,5,"Comedy, Family, Fantasy",91,1994,"$341,631,2"
977.Garfield,5,"Animation, Adventure, Comedy",80,2004,"$203,172,4"
978.Wild Wild West,4.9,"Action, Comedy, Sci-Fi",106,1999,"$222,104,6"
979.The Twilight Saga: Breaking Dawn - Part 1,4.9,"Adventure, Drama, Fantasy",117,2011,"$712,205,8"
980.Charlie's Angels: Full Throttle,4.9,"Action, Adventure, Comedy",106,2003,"$259,175,7"
981.Gulliver's Travels,4.9,"Adventure, Comedy, Family",85,2010,"$237,382,7"
982.High School Musical 3: Senior Year,4.9,"Comedy, Drama, Family",112,2008,"$252,909,1"
983.Alvin and the Chipmunks: The Road Chip,4.9,"Animation, Adventure, Comedy",92,2015,"$234,798,6"
984.Xi you ji: Da nao tian gong,4.9,"Action, Adventure, Family",119,2014,"$182,206,9"
985.The Twilight Saga: New Moon,4.8,"Adventure, Drama, Fantasy",130,2009,"$711,025,4"
986.After Earth,4.8,"Action, Adventure, Sci-Fi",100,2013,"$243,611,9"
987.102 Dalmatians,4.8,"Adventure, Comedy, Family",100,2000,"$183,611,7"
988.Zhong guo yi sheng,4.7,Drama,129,2021,"$197,143,2"
989.Fifty Shades Darker,4.6,"Drama, Romance, Thriller",118,2017,"$381,545,8"
990.Yogi Bear,4.6,"Animation, Adventure, Comedy",81,2010,"$203,509,3"
991.Fifty Shades Freed,4.5,"Drama, Romance, Thriller",105,2018,"$371,985,0"
992.Sex and the City 2,4.5,"Comedy, Drama, Romance",146,2010,"$290,745,0"
993.Alvin and the Chipmunks: The Squeakquel,4.5,"Animation, Adventure, Comedy",88,2009,"$443,140,0"
994.Spy Kids 3: Game Over,4.3,"Action, Adventure, Comedy",84,2003,"$197,101,6"
995.Alvin and the Chipmunks: Chipwrecked,4.3,"Animation, Adventure, Comedy",87,2011,"$342,695,4"
996.Fifty Shades of Grey,4.2,"Drama, Romance, Thriller",125,2015,"$569,651,4"
997.The Last Airbender,4,"Action, Adventure, Family",103,2010,"$319,713,8"
998.Batman & Robin,3.8,"Action, Sci-Fi",125,1997,"$238,235,7"
999.The Emoji Movie,3.4,"Animation, Adventure, Comedy",86,2017,"$217,776,6"
"1,000.Du cheng feng yun III",2.6,"Comedy, Drama",113,2016,"$181,732,8"
